states,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,id,total
Andaman & Nicobar Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,2,2,2,2,3,1,0,0,1,0,1,2,0,4,1,1,0,1,1,0,1,2,2,4,1,0,2,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,61.0
Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,1,0,4,3,0,0,2,1,3,2,2,3,2,2,0,0,0,0,0,2,0,0,0,1,2,2,3,3,1,0,1,1,1,0,1,1,0,2,1,1,1,1,0,0,1,1,1,1,0,2,2,0,4,3,2,0,2,0,2,1,2,0,2,2,2,2,2,2,4,5,5,5,8,10,7,10,11,12,11,7,6,5,8,12,14,7,13,12,13,15,17,19,37,43,44,40,42,52,56,54,62,65,61,49,52,56,49,58,65,68,68,58,67,63,67,77,72,89,97,97,80,87,93,82,97,87,88,82,88,86,95,91,97,93,86,92,81,92,81,82,88,85,84,72,75,76,71,70,70,73,74,68,77,67,66,60,69,64,72,67,58,57,51,51,45,52,48,57,45,37,35,48,41,31,41,40,38,33,34,42,31,35,30,32,35,28,38,25,24,23,24,28,27,16,20,22,21,19,19,18,16,17,14,16,13,15,10,13,11,11,12,11,12,14,9,10,7,14,13,9,9,11,10,7,11,10,8,6,8,6,5,7,4,4,28,6992.0
Arunanchal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,1,1,1,1,0,1,0,4,1,1,0,0,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,1,4,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,12,54.0
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,2,6,5,8,2,4,4,6,2,2,1,2,4,1,6,2,4,6,1,2,7,2,4,2,4,3,4,4,6,6,5,6,8,5,6,4,6,8,6,7,7,8,6,10,8,6,7,8,10,8,14,4,8,3,7,10,9,8,7,15,7,8,10,8,18,18,16,23,16,13,10,19,17,12,8,14,16,8,11,11,17,13,17,12,13,17,14,10,14,14,11,18,7,9,8,9,5,10,4,4,9,10,12,3,7,9,5,7,4,2,4,2,6,3,6,3,4,1,1,2,0,0,4,2,4,4,5,2,3,1,3,2,1,2,3,0,2,2,1,1,1,2,0,2,0,1,0,0,18,986.0
Bihar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,2,1,1,0,0,6,2,0,1,1,3,1,0,1,1,2,1,0,1,0,1,2,1,0,5,5,0,2,1,2,1,1,0,2,4,1,5,5,5,6,4,2,7,1,2,9,2,7,7,9,9,14,10,6,4,2,8,11,10,4,9,11,17,6,14,4,12,13,14,10,14,13,20,19,12,19,10,21,15,9,10,16,15,22,5,16,10,6,14,13,9,17,17,9,9,12,5,9,6,15,13,6,13,9,4,7,4,10,10,12,11,14,9,5,12,7,4,2,3,6,3,1,4,3,5,2,4,2,10,2,4,2,3,9,1,2,2,5,10,2,9,6,6,5,9,9,6,7,8,8,7,8,8,7,9,7,4,7,8,6,7,4,7,5,8,8,7,8,7,5,6,5,7,5,5,5,5,7,8,3,4,5,6,6,4,6,5,5,6,5,4,10,1264.0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,0,1,0,0,3,1,1,0,1,1,1,0,0,1,1,0,1,0,2,0,4,0,3,1,2,2,0,7,4,1,2,4,5,1,2,3,1,2,3,3,6,1,5,1,5,5,4,6,4,3,4,10,7,1,0,2,6,5,4,2,5,3,2,3,3,2,4,2,2,1,1,5,2,2,5,1,1,0,1,0,3,2,2,2,4,1,1,1,0,1,0,1,1,1,0,1,2,2,3,4,2,1,2,0,2,2,2,1,1,1,3,2,3,2,1,4,0,4,2,1,1,4,277.0
Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,3,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,3,0,0,4,1,0,5,2,3,4,2,1,4,1,3,1,3,3,8,2,6,10,3,6,3,5,5,8,13,4,8,8,8,6,8,8,10,7,9,15,10,14,6,11,7,8,10,12,16,22,19,24,15,12,70,16,25,21,16,18,15,23,17,17,19,13,13,28,10,24,25,40,31,29,39,41,29,16,29,14,36,23,30,24,38,39,18,33,20,33,46,40,14,39,56,50,44,52,58,55,25,43,20,55,53,49,63,49,58,58,50,44,52,22,13,17,18,25,20,18,17,16,26,19,23,26,19,22,19,14,21,16,18,12,17,10,21,31,22,2861.0
Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0
NCT of Delhi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,2,0,3,2,5,5,4,2,2,6,4,1,2,2,0,1,2,3,1,0,0,0,2,3,2,3,0,0,0,1,1,2,0,5,0,13,20,9,8,6,19,12,6,10,18,14,23,30,15,12,15,13,82,18,57,50,33,59,44,49,53,51,62,31,79,101,129,57,56,73,437,67,65,66,77,63,58,68,64,64,63,66,65,57,62,61,61,59,81,63,48,50,48,45,42,34,37,40,35,41,58,26,26,31,35,27,29,26,32,29,21,26,28,26,29,27,26,15,17,12,11,15,23,16,13,20,8,14,14,11,10,8,18,12,9,22,13,14,16,13,17,17,22,20,15,22,18,18,19,19,13,25,29,32,19,20,28,21,28,29,26,36,33,38,30,38,37,32,37,36,36,24,46,42,37,48,41,40,37,34,38,32,39,35,37,39,48,29,40,45,44,26,22,35,28,31,41,47,35,26,36,33,54,44,40,27,47,41,51,42,48,51,66,64,79,77,71,83,85,104,91,96,95,99,99,131,98,118,111,121,121,109,99,91,98,89,68,108,86,7,9174.0
Dadara & Nagar Havelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.0
Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,1,0,3,2,3,1,0,1,2,0,1,1,3,2,1,0,4,2,1,0,3,3,3,3,5,3,4,4,2,4,2,3,5,6,3,2,2,5,6,7,5,8,2,9,5,4,4,9,8,6,4,3,5,9,2,10,8,8,9,7,9,11,6,6,8,10,4,14,11,4,8,8,7,9,9,8,8,7,3,5,10,6,12,9,12,2,8,6,4,8,9,7,7,8,8,4,3,5,6,6,7,6,5,6,2,7,4,2,6,6,3,7,5,5,2,5,7,2,8,4,3,8,2,4,4,5,0,2,1,3,1,4,3,0,2,3,2,0,2,4,2,1,0,1,1,2,30,688.0
Gujarat,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,1,2,1,1,1,2,2,2,1,3,2,2,2,5,3,5,12,10,8,19,13,9,15,6,18,11,19,16,17,22,26,28,29,49,28,29,24,23,21,20,24,29,20,20,19,34,35,25,30,24,29,27,29,30,27,23,22,20,27,31,25,29,30,33,35,29,30,31,33,34,38,31,33,29,28,28,27,31,27,20,25,21,26,25,18,18,18,19,19,20,21,19,18,21,18,17,17,16,15,14,10,13,10,14,10,10,17,19,20,20,34,28,28,26,22,21,22,24,24,22,22,24,22,22,25,23,27,22,23,25,20,23,18,18,15,19,20,15,20,17,16,14,14,14,13,20,17,17,14,13,17,14,14,12,16,14,16,14,15,13,16,15,16,15,15,17,17,12,14,16,16,17,17,16,15,14,12,13,10,12,11,11,10,15,12,9,13,10,9,10,9,10,9,8,10,11,11,11,9,9,8,8,9,7,6,6,7,4,5,6,4,6,5,5,4,6,6,7,4,5,7,5,5,6,6,6,6,6,5,7,8,7,7,9,13,17,16,14,16,16,15,16,20,15,24,3988.0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,2,2,4,0,0,1,2,1,0,1,1,3,4,1,5,2,4,1,1,4,3,3,5,2,4,5,8,1,7,12,5,4,7,5,5,10,7,7,11,5,3,3,9,7,8,7,7,5,2,7,7,3,2,1,3,1,5,2,3,3,4,2,5,5,1,5,1,2,5,2,6,5,6,8,10,8,11,6,4,6,6,7,12,9,6,11,8,11,8,12,13,12,11,18,19,22,12,13,14,13,11,12,10,0,2,635.0
Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,2,1,0,1,0,1,2,0,1,0,0,4,11,6,7,12,6,8,10,12,18,12,4,10,5,11,9,9,10,10,13,7,5,9,4,4,11,4,5,5,11,3,3,5,3,7,4,7,4,7,3,5,17,5,6,9,8,6,4,7,3,5,9,7,4,4,7,5,7,8,7,3,9,7,9,6,11,3,8,7,10,10,12,7,10,11,7,12,6,10,10,11,12,15,9,12,7,17,15,19,19,22,25,23,25,28,25,25,24,19,25,26,19,24,23,28,29,28,29,27,22,18,18,16,24,25,26,20,23,25,20,21,18,19,20,14,10,7,13,9,13,9,11,6,0,8,12,14,14,17,15,7,10,13,8,8,11,12,6,15,7,19,23,21,17,15,7,16,23,21,27,5,8,19,25,30,20,25,25,25,28,33,42,25,29,30,26,27,28,6,2428.0
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,1,1,2,0,1,0,1,7,2,3,2,4,4,2,1,4,8,3,3,9,7,0,7,4,5,4,3,8,4,7,4,7,9,6,9,17,12,5,8,7,15,5,15,11,10,13,8,11,13,8,17,12,15,15,12,9,12,7,11,10,6,3,15,7,13,14,16,5,15,10,13,6,10,8,11,12,13,2,9,15,7,4,9,9,9,9,12,13,8,8,5,9,4,10,10,8,6,3,3,11,7,6,8,5,8,7,3,7,2,8,3,2,2,6,4,4,3,0,1,1,1,5,3,0,1,2,0,8,5,3,4,4,1,2,4,3,3,3,2,6,5,3,2,3,3,1,1,0,1,5,20,964.0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,2,2,1,2,0,1,0,2,1,2,1,1,0,0,3,2,1,1,1,3,2,4,3,3,1,1,2,4,3,1,1,7,4,6,1,3,2,1,2,1,2,1,1,6,4,10,4,8,5,6,5,6,5,5,10,10,8,8,11,16,9,5,8,10,9,10,9,14,9,7,9,12,15,17,12,11,8,11,10,9,10,13,10,13,6,12,8,11,11,7,15,6,13,11,6,15,15,9,7,14,19,14,7,7,9,9,14,15,11,12,15,14,17,14,17,13,9,10,14,17,19,18,19,15,21,14,23,18,20,22,21,20,7,14,18,17,17,14,19,11,10,16,14,9,15,7,9,11,7,12,6,8,6,7,9,9,5,10,12,6,8,6,7,4,11,5,7,4,8,12,9,6,6,5,5,9,7,9,8,8,6,9,8,7,9,5,4,2,5,12,10,12,5,8,4,5,9,8,1,1694.0
