states,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,id,total
Karnataka,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,2,1,0,1,2,0,1,0,0,1,0,1,1,0,1,1,0,3,0,2,2,0,1,0,0,1,0,0,2,2,1,0,1,0,3,1,0,0,1,0,2,0,3,0,1,1,2,1,0,1,4,0,2,2,3,2,3,3,7,3,5,2,7,8,12,9,9,5,5,8,14,6,10,11,16,19,20,7,19,21,42,37,30,15,54,17,57,70,71,73,87,87,104,115,93,91,72,61,55,97,110,72,82,75,102,90,83,84,98,84,98,110,100,93,100,93,107,114,86,113,103,104,114,116,115,139,126,102,93,93,68,127,148,133,141,136,115,106,113,135,113,104,116,128,95,141,146,128,129,130,94,104,119,97,55,93,179,114,101,122,83,38,65,86,86,79,59,136,87,130,125,100,67,84,91,113,101,114,102,75,70,87,75,85,73,71,51,64,66,88,74,51,52,32,42,44,55,45,49,28,24,29,26,34,31,35,22,22,19,20,23,21,17,17,21,12,16,21,26,17,20,13,24,17,19,12,12,12,15,13,14,29,11785.0
Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,3,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,2,2,2,1,1,2,1,2,2,1,1,1,5,4,5,2,2,4,1,2,3,8,1,2,3,7,3,5,4,2,7,5,6,3,10,7,10,13,6,7,9,12,15,5,11,10,13,10,7,6,7,7,4,7,10,11,11,10,12,13,12,12,14,15,14,15,11,14,10,12,18,16,18,19,20,21,22,21,21,20,22,23,29,20,22,23,23,25,22,24,25,23,25,22,21,20,23,24,26,22,21,24,26,23,26,25,26,20,24,27,26,28,27,28,21,26,28,26,27,28,24,22,28,29,25,26,26,21,19,27,28,26,28,25,27,22,24,26,27,23,25,27,21,26,32,2245.0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0.0
Maharashtra,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,2,1,3,8,5,6,13,7,12,8,25,12,17,22,11,18,9,7,7,10,12,9,19,18,14,18,22,19,27,31,32,27,26,36,27,35,34,34,43,37,48,53,36,53,54,44,49,67,63,51,76,65,64,63,60,58,60,97,105,85,116,99,89,76,103,122,123,139,120,91,109,120,149,152,127,113,120,178,1409,114,100,142,91,186,113,248,208,192,175,167,156,181,245,198,125,198,295,151,204,224,198,219,226,223,173,193,213,233,266,258,144,258,176,246,280,298,278,257,267,227,282,298,266,265,322,260,266,300,334,316,300,275,390,293,256,344,413,364,322,288,228,422,346,326,339,297,258,212,329,295,355,331,328,296,184,320,292,391,378,312,328,423,380,380,495,442,391,416,363,515,474,468,440,425,455,344,392,479,459,416,430,380,180,430,481,394,424,278,326,263,370,355,358,302,308,305,169,187,158,337,306,463,150,125,213,180,198,184,137,112,84,115,91,156,127,74,113,104,120,300,256,161,150,125,85,110,125,122,127,105,60,60,68,100,154,155,62,50,30,30,65,65,85,88,85,80,95,27,47150.0
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,1,1,1,1,0,2,1,4,1,1,2,1,0,3,2,2,0,2,2,2,1,0,0,0,3,1,2,2,1,2,0,5,1,0,0,1,1,1,1,1,5,3,2,0,0,0,1,1,1,1,1,1,0,1,3,2,0,1,2,0,0,0,1,0,2,0,1,0,0,4,0,2,0,1,1,1,1,2,2,2,0,0,0,0,0,1,0,0,1,17,111.0
Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,1,2,1,0,0,1,0,1,0,0,3,1,1,0,0,2,2,0,0,2,1,0,2,1,0,0,1,0,3,3,1,2,0,1,1,4,0,1,1,0,1,1,3,1,3,2,2,1,2,0,1,1,0,0,1,2,1,1,2,3,1,3,2,3,3,2,3,2,4,6,1,5,2,5,1,4,3,3,5,6,1,5,6,6,4,4,4,3,9,4,3,2,2,3,3,1,2,2,5,6,5,3,3,1,6,0,1,1,3,2,2,5,4,7,7,10,8,0,14,281.0
Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,2,0,3,2,2,6,3,9,4,4,3,7,3,0,2,14,0,3,4,4,0,3,9,7,4,7,10,10,7,8,6,5,9,11,9,8,7,11,4,6,4,7,5,2,4,5,4,6,9,4,1,9,9,10,5,8,8,13,9,7,8,6,7,6,7,15,13,2,6,7,4,9,7,12,6,11,6,4,9,6,14,6,4,9,8,4,4,7,7,8,9,8,4,5,10,9,5,7,5,4,6,9,10,10,9,7,9,8,15,17,18,14,10,11,8,12,9,10,14,13,10,9,10,14,12,17,17,16,15,19,19,18,15,17,16,13,11,23,13,18,12,14,21,23,17,19,17,24,17,22,29,20,32,27,30,30,30,29,17,20,31,21,30,37,34,29,29,24,33,24,42,27,37,28,42,45,30,29,26,35,39,35,20,36,27,35,29,25,30,29,27,25,25,21,26,15,24,25,18,20,13,25,17,14,13,20,10,5,8,15,16,12,10,7,7,9,13,5,12,13,11,6,8,13,10,11,7,7,2,10,13,14,9,11,13,10,11,14,12,15,13,13,10,0,23,3261.0
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5.0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,-1,0,0,0,0,0,0,0,2,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,4,0,0,0,0,0,0,3,1,2,0,1,1,4,0,0,3,0,2,1,0,0,1,0,4,0,0,2,0,0,1,0,1,0,2,1,2,2,0,0,2,1,0,0,0,0,13,58.0
Odisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,4,2,3,0,0,0,1,3,2,2,1,2,2,6,3,2,6,7,6,6,6,5,7,5,5,2,6,3,7,6,8,6,6,8,10,11,7,8,6,10,9,11,11,12,10,11,11,12,15,14,16,12,9,9,10,9,10,10,9,10,8,10,9,10,10,9,13,7,8,14,12,10,11,11,8,9,7,8,10,13,11,11,14,11,10,11,8,11,13,13,9,10,9,11,15,16,15,16,14,16,15,14,17,16,17,15,17,16,18,16,17,15,16,18,17,15,17,15,17,14,17,16,13,15,18,15,16,14,13,12,13,11,12,11,9,12,12,14,15,17,15,16,13,15,14,12,15,17,16,17,15,17,16,17,15,17,14,16,17,14,12,4,5,5,21,1792.0
Punjab,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,1,1,1,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,2,2,2,1,1,2,0,0,1,0,0,0,0,3,2,1,0,1,0,0,1,0,0,0,0,2,2,1,-1,2,1,0,1,2,1,2,2,0,4,4,2,2,4,1,6,5,9,6,1,2,4,8,7,2,6,5,5,6,5,3,5,5,2,5,6,3,5,4,8,4,5,9,8,9,9,7,8,8,1,6,8,5,9,15,12,18,25,9,16,19,18,19,20,29,26,22,23,24,18,32,39,31,25,40,41,50,36,22,37,34,45,50,43,49,41,37,51,41,56,49,59,106,72,49,69,54,61,67,71,88,63,76,68,67,91,78,54,60,51,56,47,66,64,76,68,54,50,46,75,47,45,50,61,41,38,38,33,29,32,25,35,27,34,31,29,26,19,13,17,8,23,12,23,12,10,8,13,20,10,19,16,11,13,18,14,22,14,15,8,20,20,31,23,16,0,30,22,30,31,15,16,23,19,17,22,31,26,27,28,15,27,14,3,4807.0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,3,1,3,3,0,1,1,1,3,1,3,2,3,4,0,1,1,2,1,4,2,7,5,5,5,7,2,2,5,6,4,0,4,4,9,6,8,6,8,8,5,8,8,10,9,12,10,7,12,13,7,20,18,16,11,12,10,6,12,5,15,9,11,13,13,6,11,10,9,6,8,6,7,6,13,2,2,4,4,7,2,5,4,3,5,5,2,1,4,2,2,1,2,1,3,0,1,2,3,2,2,2,2,0,0,2,2,0,0,3,0,1,1,1,0,2,1,1,2,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,34,610.0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,2,0,0,0,0,6,4,2,2,1,1,1,4,2,7,9,2,3,3,4,6,3,6,12,4,6,4,3,2,5,4,4,4,0,1,5,7,5,4,4,2,7,3,4,3,3,7,4,9,1,5,4,6,4,5,13,9,6,9,4,6,7,10,10,9,7,5,17,3,4,12,7,9,10,4,1,11,8,6,8,8,9,10,7,9,5,11,10,9,6,6,7,8,6,6,8,8,7,6,9,9,6,11,8,11,11,9,11,10,13,13,14,12,13,13,13,12,10,11,11,11,11,11,11,13,16,14,11,11,12,11,12,11,11,12,13,12,13,12,13,13,13,13,12,14,13,14,15,14,13,14,14,15,14,15,14,14,15,14,15,14,14,16,15,15,15,15,14,15,15,15,15,14,16,14,15,14,15,16,15,16,15,14,15,14,15,14,15,12,13,12,14,14,12,14,12,13,14,14,10,11,10,9,10,9,10,9,10,11,13,10,9,10,11,13,12,12,10,12,11,12,15,14,16,17,18,19,18,19,18,19,18,20,19,8,2312.0
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,4,2,3,0,3,0,4,3,2,1,0,0,1,1,0,0,2,2,0,2,3,1,2,2,1,3,2,1,2,1,1,1,2,0,0,0,0,1,2,1,0,0,0,0,1,1,2,0,0,0,1,1,4,0,0,2,0,1,2,1,1,2,3,1,1,2,2,1,3,0,1,0,3,1,2,0,0,1,4,1,1,0,11,109.0
Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,3,0,2,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,4,2,5,3,1,4,3,1,6,4,4,6,5,6,4,7,6,8,10,14,5,6,8,9,9,8,3,2,4,1,3,3,5,7,7,3,5,5,7,6,4,6,7,7,8,8,5,7,11,7,11,7,8,9,8,9,10,11,10,7,6,6,7,7,9,9,8,8,0,8,9,12,13,14,11,10,11,12,13,13,12,14,12,10,8,9,11,9,10,9,10,8,8,10,8,7,11,6,9,10,8,11,9,10,9,9,10,10,10,11,9,9,11,10,11,13,10,11,13,10,12,9,11,9,8,9,10,10,8,10,11,9,7,9,11,8,10,8,10,8,10,8,12,7,9,5,6,5,8,8,7,9,6,4,7,5,5,6,5,4,4,4,4,5,6,6,5,7,3,6,5,4,6,5,4,4,5,3,4,4,3,3,3,5,4,4,3,4,3,4,4,3,4,3,4,3,3,0,1458.0
Tamil Nadu,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,1,1,1,0,1,2,1,0,0,0,2,1,0,2,2,1,1,0,1,2,0,1,1,1,1,2,2,2,3,4,3,6,8,3,2,5,4,4,3,3,3,7,4,5,8,7,11,6,12,9,6,13,11,13,8,15,12,19,18,17,18,19,23,18,30,38,44,49,48,49,41,38,53,37,39,33,45,46,68,54,62,60,63,57,64,65,60,61,65,64,65,64,69,68,66,67,68,69,79,88,78,70,75,518,88,88,89,85,77,88,82,100,94,99,98,109,108,112,110,119,118,119,114,118,119,119,117,127,125,120,121,116,116,101,80,97,97,107,118,109,102,87,94,91,96,98,92,79,64,85,89,87,78,64,77,76,74,53,68,57,59,67,66,60,60,76,63,66,72,85,80,70,70,67,66,67,65,66,62,71,67,68,68,67,65,62,57,52,49,60,54,56,52,47,39,45,33,35,31,32,27,35,35,38,31,30,31,31,30,28,27,25,20,18,25,28,25,14,12,12,17,18,18,19,18,18,19,17,17,16,14,12,13,9,9,10,33,11712.0
Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,1,1,1,1,0,2,4,4,0,0,0,2,4,0,1,2,1,5,1,4,1,1,0,1,2,4,5,4,3,3,0,4,1,2,1,6,4,2,4,5,4,5,10,5,8,3,7,8,5,3,9,6,5,10,12,6,7,10,5,6,7,4,6,3,2,7,5,3,2,3,3,1,6,3,3,4,6,2,0,3,7,2,2,1,1,1,1,4,3,3,2,0,1,2,5,1,3,0,1,0,1,1,0,0,2,2,3,0,1,2,1,2,0,0,0,1,2,0,2,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,16,367.0
Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,3,3,2,1,0,3,1,3,0,3,1,2,3,1,3,5,1,2,1,0,7,6,4,2,4,8,5,1,2,4,2,7,9,8,6,5,4,11,14,3,6,8,8,5,15,4,12,4,5,7,1,15,12,11,7,8,18,20,24,20,20,14,18,18,30,23,19,22,21,19,19,8,15,19,19,11,12,25,21,17,14,24,12,24,18,18,17,27,24,21,21,28,29,34,38,24,38,46,37,34,35,50,39,39,30,41,33,57,43,47,53,48,39,40,61,63,47,41,51,56,54,50,55,58,56,66,70,53,95,64,70,59,61,72,82,76,77,62,67,63,56,74,75,71,81,77,56,71,65,94,76,67,80,62,113,86,81,98,84,94,88,77,87,67,84,67,77,58,63,69,80,53,60,52,63,61,47,45,48,60,41,44,28,41,36,46,40,29,27,29,41,35,40,24,28,20,38,18,25,24,18,26,25,13,15,27,24,25,26,25,30,20,21,25,27,18,21,19,29,39,20,24,35,23,33,29,30,23,21,24,19,0,9,7761.0
Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,1,2,1,0,2,0,0,2,1,5,2,1,0,1,1,0,0,1,0,1,2,5,1,1,0,1,1,2,0,1,0,0,0,0,1,3,0,0,0,1,2,1,0,0,1,1,0,3,0,2,3,2,1,0,3,4,2,4,4,3,3,4,5,3,4,10,5,8,9,2,4,3,4,4,1,6,6,14,9,5,3,5,7,6,6,9,11,11,7,12,11,11,9,12,18,11,7,12,12,5,11,14,12,15,9,9,13,4,14,13,10,11,17,13,13,11,8,6,11,20,14,11,12,4,17,8,11,14,14,18,13,15,20,14,18,15,95,3,6,13,14,8,11,5,9,8,6,2,0,2,12,4,2,4,5,9,9,7,2,10,5,6,7,4,5,5,9,3,9,5,5,8,9,7,18,5,11,5,13,8,9,7,5,1231.0
West Bengal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0,2,0,0,3,0,0,3,0,2,0,2,0,11,8,7,74,11,7,4,7,9,11,14,5,8,9,8,10,7,6,6,6,3,6,6,4,3,6,5,6,6,7,7,8,8,10,10,10,11,17,13,9,10,17,10,9,12,12,10,10,11,12,11,11,15,14,11,11,15,10,13,10,14,15,15,16,18,19,21,22,25,23,27,26,26,26,24,24,20,23,26,27,36,35,35,39,34,35,42,40,39,38,41,46,45,48,49,53,54,61,56,52,51,54,41,49,54,56,60,58,51,45,55,53,53,55,48,57,57,58,55,53,56,53,50,52,55,56,55,58,58,52,58,57,53,41,57,59,58,58,59,61,60,59,56,61,62,62,61,62,59,56,60,56,62,59,59,53,62,62,61,63,58,63,62,62,59,60,62,64,62,61,61,64,63,61,64,64,60,59,60,59,58,60,61,59,57,59,57,56,55,54,55,58,59,56,53,49,54,51,53,51,53,52,54,53,50,53,49,47,49,51,52,46,52,54,48,52,19,8424.0
